find,ini_value,value,min,max,cond,file,opt
<hlim1>,-0.1,-0.1,-50,5,<hlim1> >= <hlim2l>,/R/R_samuca/sim_db/management/mana_control_seq_f1_s1.csv,F
<hlim2l>,-5,-5,-330,5,<hlim2l> >= <hlim2u>,/R/R_samuca/sim_db/management/mana_control_seq_f1_s1.csv,F
<hlim2u>,-5,-5,-330,5,<hlim2u> >= <hlim3h>,/R/R_samuca/sim_db/management/mana_control_seq_f1_s1.csv,F
<hlim3h>,-790,-790,-15000,-330,<hlim3h> >= <hlim3l>,/R/R_samuca/sim_db/management/mana_control_seq_f1_s1.csv,T
<hlim3l>,-1000,-1000,-15000,-330,<hlim3l> >= <hlim4>,/R/R_samuca/sim_db/management/mana_control_seq_f1_s1.csv,T
<hlim4>,-15000,-15000,-15000,-10000,NA,/R/R_samuca/sim_db/management/mana_control_seq_f1_s1.csv,F
