"it","objective","sim.id","hlim3h","hlim3l","adcrh","adcrl","ksat_seq1","ksat_seq2","ksat_seq3","ksat_seq4","ksat_seq5"
1,0.44181316957868,"SEQ_F1_S2",-790,-1000,0.6,0.2,40.8,24.24,11.76,5.04,5.04
2,0.471750770576114,"SEQ_F1_S2",-4855.80634155868,-5646.70893643957,0.462339056717821,0.334218858654799,82.7531381256388,22.0979140618537,23.4065058800471,2.82902835186583,5.56464985685864
3,0.443609754734152,"SEQ_F1_S2",-1651.98654002343,-7829.07456111429,0.736137210785887,0.353270948857212,67.5181652550749,11.2096062160443,55.2722505993584,11.8239866973613,51.4887939013805
4,0.484246688177356,"SEQ_F1_S2",-4346.5042598682,-8036.74838869373,0.809262142147407,0.493193214729682,77.5070412048155,16.4493211021425,32.6958835885657,38.6740157899791,44.6399580261824
5,0.507843712722004,"SEQ_F1_S2",-1213.52862185514,-10170.8566590985,1.0770059603288,0.511824017382435,62.60895023653,5.80177993776095,63.8570000299166,47.4700739664956,89.5486087621393
6,0.50019050083797,"SEQ_F1_S2",-5625.90466229975,-14178.5253506158,0.789112481229529,0.555156476154536,56.5309042680532,10.1794211616633,46.9485563982384,43.9655408398548,69.0306377163243
7,0.503908003313265,"SEQ_F1_S2",-535.90787478231,-9829.93955880199,0.638928004352545,0.599972505520283,48.4681738600354,20.7534590809364,49.060750584637,92.7561608838092,45.5579348000748
8,0.499787814411512,"SEQ_F1_S2",-3171.68322043926,-7577.32033700029,0.5955256950097,0.468608763890295,27.4327331819637,30.8674697768837,79.7724014838153,92.5799095760344,32.501378725354
9,0.498188103340304,"SEQ_F1_S2",-1242.95932550846,-5200.7204835739,0.568516100375571,0.412237985352048,39.8065082810597,10.2341241557175,65.4808573073834,96.0884808343019,32.1991731930578
10,0.489566533795206,"SEQ_F1_S2",-1638.29015712209,-5428.55749346696,0.424062416418559,0.159624997563841,33.2762183140601,68.126802368386,82.437871833648,87.6263304946824,30.7087939499362
11,0.449766854755187,"SEQ_F1_S2",-815.712801674916,-8209.31932104559,0.3293835172448,0.282265479751473,59.7778432655213,69.2879586834809,64.7026203600568,71.6232318904131,17.4803864721353
12,0.501557674914729,"SEQ_F1_S2",-3174.01754253914,-7482.31385586699,0.296116594707762,0.114256336530514,54.3644559190216,45.2547542520719,88.9816905632216,67.6879355622446,45.9610178242118
13,0.516985438424819,"SEQ_F1_S2",-3273.16483531186,-8415.25163985908,0.43672912937978,0.1843064341959,19.8708123279354,61.1779905545739,84.5583365883006,77.7320887279174,71.5037257801053
14,0.522606189228557,"SEQ_F1_S2",-737.810643645606,-10238.4996958606,0.720291516972017,0.167011357762283,13.7992915253147,72.5799969894958,87.7906328102435,89.4754976823251,76.473825656954
15,0.538906753497842,"SEQ_F1_S2",-4705.09010313705,-13841.896490369,0.461439171731521,0.20597267294486,8.3343658926044,76.5160454924835,72.5878213324696,86.3244828637811,58.0255963278192
16,0.533097307657862,"SEQ_F1_S2",-5498.96014342091,-12966.3509648122,0.535208193812932,0.313859914017678,8.1986448785569,79.8527746942582,85.3853938397285,66.6382392542586,55.9198069377977
17,0.512909595289166,"SEQ_F1_S2",-7818.75917288944,-13145.144201211,0.598163855062836,0.434323600035188,16.7983970950778,84.363817771816,65.9486560907633,89.7543134116203,50.0234186159614
18,0.507596137583803,"SEQ_F1_S2",-6026.77431465553,-10937.0360512501,0.573069135834954,0.381949290859629,28.2949195755894,65.1932962549643,52.6703269155727,93.0141405882188,49.74263828272
19,0.505243278166897,"SEQ_F1_S2",-4234.78945642162,-8728.92790128917,0.547974416607073,0.329574981684069,39.791442056101,46.0227747381126,39.391997740382,96.2739677648172,49.4618579494786
