samuca_soil_code_var,obs_soil_code,depth,run_perf
swc1,swc,10,T
swc2,swc,30,T
swc3,swc,60,T
swc4,swc,40,F
swc5,swc,60,F
swc6,swc,70,F
swc7,swc,90,F
swc8,swc,100,F
