LAT,LON,SOILTYPE,Soil_ID,TYPE,SLLL,SDUL,SSAT,SRGF,SSKS,SBDM,SLOC,SLCL,SLSI,SLCF,SLNI,SLHW,SLHB,SCEC
-0.317,-60.85,Xanthic_Ferralsol,*WI_FRBR032,INP1,0.2285,0.3865,0.5165,0.87,0.465,1.21,1.65,54.5,20,-99,0.125,3.5,3.4,3.75
-2.933,-63.617,Plinthic_Acrisol,*WI_ACBR033,INP1,0.148,0.3375,0.527,1,1.31,1.125,3.15,23,71,-99,0.26,3.6,3.35,12.1
-3.317,-57.45,Xanthic_Ferralsol,*WI_FRBR035,INP1,0.2195,0.381,0.5385,0.85,0.81,1.115,2.9,51,11.5,-99,0.29,3.55,3.45,10.7
-2.217,-56.917,Humic_Ferralsol,*WI_FRBR036,INP1,0.183,0.353,0.576,0.82,1.45,1.02,3.6,48,8,-99,0.36,3,3,15.7
-15.6,-47.717,Haplic_Ferralsol,*WI_FRBR044,INP1,0.2015,0.369,0.5085,0.83,0.545,1.23,1.635,44.5,28.5,2,0.11,5.05,4.3,7.6
-22.733,-45.583,Humic_Cambisol,*WI_CMBR046,INP1,0.148,0.337,0.64,1,3.37,0.69,12.6,16,9,-99,1.15,3.6,-99,58.7
-22.317,-50,Ferric_Luvisol,*WI_LVBR054,INP1,0.027,0.1,0.395,0.82,32.88,1.51,0.4,6,3,-99,0.05,6.3,-99,4
-6.667,-35.133,Haplic_Arenosol,*WI_ARBR087,INP1,0.0265,0.102,0.419,1,37.215,1.44,0.71,2.5,3.5,-99,0.05,5.45,4.55,2.7
-20.383,-47.433,Ferralic_Cambisol,*WI_CMBR101,INP1,0.0575,0.1805,0.3785,0.83,4.94,1.555,0.665,14.5,9,-99,0.045,4.5,4.3,1.3
-17.333,-49.25,Haplic_Acrisol,*WI_ACBR106,INP1,0.156,0.33,0.4465,0.85,0.555,1.36,2.075,28,14.5,-99,0.16,5.3,4.7,7.5
-16.483,-49.1,Ferralic_Cambisol,*WI_CMBR107,INP1,0.172,0.3515,0.4445,0.875,0.35,1.36,2.425,36,17,-99,0.17,5.7,4.9,8.35
-16.35,-48.95,Ferralic_Cambisol,*WI_CMBR109,INP1,0.179,0.35,0.57,1,1.44,1.05,2.66,39,19,-99,0.15,4.5,4.1,7.1
-15.9,-48.133,Humic_Acrisol,*WI_ACBR110,INP1,0.06,0.194,0.419,0.82,5.05,1.46,2,21,15,31,0.2,4,3.9,7
-15.592,-47.719,Albic_Plinthosol,*WI_PTBR113,INP1,0.219,0.38,0.4505,0.81,0.165,1.38,1.855,54,20.5,-99,0.12,4.2,3.7,9.75
-7.617,-73.783,Haplic_Nitisol,*WI_NTBR008,INP1,0.148,0.337,0.55,1,1.61,1.05,4.3,27,69,-99,0.43,6.6,6,24.7
-8.133,-72.65,Ferric_Acrisol,*WI_ACBR009,INP1,0.082,0.198,0.386,1,3.74,1.54,0.5,14,14,-99,0.05,5.6,4.3,1.5
-1.833,-61.333,Ferralic_Arenosol,*WI_ARBR012,INP1,0.092,0.243,0.449,0.845,4.53,1.335,1.685,12.5,22.5,13.5,0.14,5.65,4.2,6.05
-0.933,-61,Gleyic_Podzol,*WI_PZBR013,INP1,0.025,0.093,0.406,0.82,42.5,1.48,0.39,2,1,-99,0.01,5.3,3.8,0.6
2.85,-60.717,Dystric_Planosol,*WI_PLBR016,INP1,0.033,0.124,0.38,1,16.49,1.56,0.32,8,9,6,0.02,4.3,4,1.7
3.5,-61,Xanthic_Ferralsol,*WI_FRBR017,INP1,0.168,0.276,0.405,0.835,1.095,1.505,0.56,26.5,17.5,-99,0.04,5.4,3.85,3.6
-2.4,-54.017,Dystric_Gleysol,*WI_GLBR034,INP1,0.131,0.287,0.576,0.82,3.9,1.02,1.36,5,71,-99,0.14,3.7,3.5,6.1
-9.35,-62.25,Xanthic_Ferralsol,*WI_FRBR042,INP1,0.2355,0.39,0.5205,0.835,0.445,1.205,1.35,67.5,7,-99,0.095,3.75,3.5,7.2
-9.5,-40.4,Eutric_Vertisol,*WI_VRBR059,INP1,0.216,0.321,0.436,0.82,0.5,1.45,0.4,51,11,-99,0.06,8.1,-99,39.8
-9.383,-36.85,Eutric_Planosol,*WI_PLBR062,INP1,0.047,0.163333333,0.411666667,0.793333333,10.15333333,1.456666667,0.866666667,10,15.33333333,-99,0.086666667,5.566666667,-99,5.3
-23.667,-51.167,Rhodic_Nitisol,*WI_NTBR075,INP1,0.2835,0.4315,0.5295,0.82,0.15,1.265,2.23,55.5,37.5,-99,0.23,6.3,5.25,14.95
-1.367,-47.183,Xanthic_Ferralsol,*WI_FRBR079,INP1,0.0435,0.174,0.4045,1,7.59,1.47,1.225,13,2.5,-99,0.08,5.6,4.8,5.55
-9.383,-36.85,Haplic_Solonetz,*WI_SNBR084,INP1,0.060333333,0.186666667,0.418333333,0.793333333,6.09,1.466666667,0.883333333,10,15.66666667,5,0.086666667,5.566666667,4.466666667,5.3
-7.283,-34.333,Haplic_Podzol,*WI_PZBR086,INP1,0.03,0.08,0.44,0.82,36.35,1.39,0.65,3,3,-99,0.05,5.2,4.3,1.6
-7.233,-36.2,Eutric_Planosol,*WI_PLBR089,INP1,0.032,0.132,0.399,0.81,24.12,1.47,0.395,3.5,10.5,30,0.04,5.35,4.25,1.9
-8.35,-35.017,Ferric_Alisol,*WI_ALBR090,INP1,0.215,0.326,0.431,0.85,1.925,1.31,1.445,39,17,10,0.105,5,3.85,15.4
-12,-50,Eutric_Gleysol,*WI_GLBR095,INP1,0.169,0.3535,0.4945,0.865,0.795,1.28,1.27,17,54.5,-99,0.1,5.75,4.75,10.15
