find,rep,justify,width,type,digits,nsmall,layer
<prj.nm>,M_ID_9,l,50,c,0,0,0
<site.nm>,Aparecida do Taboado - MS,l,50,c,0,0,0
<sim.det>,Automaticaly created by R-Script,l,50,c,0,0,0
<soil.id>,TEMP0001,l,8,c,0,0,0
<soil.nm>,Typic Hapludox,l,30,c,0,0,0
