M_ID,residue_type,res_amount,year_aplic,doy_aplic,year_rem,doy_rem
3,sugarcane straw,12000,2013,335,2014,196
5,sugarcane straw,12000,2014,208,2015,159
7,sugarcane straw,12000,2015,196,2016,159
