# Measured: Groundwaterlevel(cm_below_SoilSurface),
# Location: Andelst
# "Reference: Smelt et al, ",
"Date","property","value"
1998-10-11,"SumDRDCD2",0.712
1998-10-12,"SumDRDCD2",1.3184
1998-10-13,"SumDRDCD2",0.6839
1998-10-14,"SumDRDCD2",6.4
1998-10-15,"SumDRDCD2",2.5732
1998-10-16,"SumDRDCD2",0.9124
1998-10-17,"SumDRDCD2",0.6713
1998-10-18,"SumDRDCD2",0.022
1998-10-21,"SumDRDCD2",0.0754
1998-10-22,"SumDRDCD2",0.1912
1998-10-23,"SumDRDCD2",2.0003
1998-10-24,"SumDRDCD2",4.0418
1998-10-25,"SumDRDCD2",7.7221
1998-10-26,"SumDRDCD2",1.0292
1998-10-27,"SumDRDCD2",5.358
1998-10-28,"SumDRDCD2",30.2205
1998-10-29,"SumDRDCD2",22.3938
1998-10-30,"SumDRDCD2",17.4518
1998-10-31,"SumDRDCD2",12.0091
1998-11-01,"SumDRDCD2",33.8048
1998-11-02,"SumDRDCD2",22.2176
1998-11-03,"SumDRDCD2",17.4749
1998-11-04,"SumDRDCD2",10.0595
1998-11-05,"SumDRDCD2",7.361
1998-11-06,"SumDRDCD2",9.8062
1998-11-07,"SumDRDCD2",5.8943
1998-11-08,"SumDRDCD2",8.6249
1998-11-09,"SumDRDCD2",20.6058
1998-11-10,"SumDRDCD2",11.7805
1998-11-11,"SumDRDCD2",6.4474
1998-11-12,"SumDRDCD2",3.8587
1998-11-13,"SumDRDCD2",2.7082
1998-11-14,"SumDRDCD2",6.9652
1998-11-15,"SumDRDCD2",4.8252
1998-11-16,"SumDRDCD2",3.5265
1998-11-17,"SumDRDCD2",1.9589
1998-11-18,"SumDRDCD2",1.4044
1998-11-19,"SumDRDCD2",1.004
1998-11-20,"SumDRDCD2",0.719
1998-11-21,"SumDRDCD2",0.4905
1998-11-22,"SumDRDCD2",0.425
1998-11-23,"SumDRDCD2",0.2881
1998-11-24,"SumDRDCD2",0.1748
1998-11-25,"SumDRDCD2",0.0321
1998-11-26,"SumDRDCD2",0.0887
1998-11-27,"SumDRDCD2",1.0181
1998-11-28,"SumDRDCD2",0.0913
1998-12-12,"SumDRDCD2",0.3093
