date_irrig,irrig_dp,irrig_wc,irrig_type
16_oct_2012,30,1000,0
02_nov_2012,4,1000,0
03_nov_2012,5,1000,0
06_nov_2012,10,1000,0
08_nov_2012,12,1000,0
12_dec_2012,12,1000,0
22_dec_2012,6,1000,0
27_dec_2012,20,1000,0
20_feb_2013,21,1000,0
07_mar_2013,25,1000,0
09_mar_2013,24,1000,0
27_apr_2013,25,1000,0
28_apr_2013,25,1000,0
10_may_2013,12,1000,0
13_may_2013,22,1000,0
24_may_2013,19,1000,0
06_jul_2013,30,1000,0
04_aug_2013,40,1000,0
19_aug_2013,40,1000,0
31_aug_2013,40,1000,0
08_sep_2013,40,1000,0
10_oct_2013,30,1000,0
25_nov_2013,20,1000,0
01_dec_2013,10,1000,0
04_dec_2013,10,1000,0
13_dec_2013,20,1000,0
17_dec_2013,14,1000,0
11_feb_2014,4,1000,0
20_feb_2014,5,1000,0
29_mar_2014,20,1000,0
16_jun_2014,40,1000,0
08_oct_2014,30,1000,0
24_feb_2015,30,1000,0
04_mar_2015,10,1000,0
20_apr_2015,40,1000,0
20_may_2015,40,1000,0
06_jul_2015,15,1000,0
12_aug_2015,30,1000,0
