site,uf,country,descr,lat,lon,alt,date,year,doy,dap,treat,type,subtype,ADM,AFM,SDM,SFM,TDM,TFM,LDM,LFM,N#GL,N#DL,T#AD,LAIGD,LA,SU%FMD,SUCROSE,SHTD,SDIAM,GLLENGTH,GLWIDHT,GLANG1,GLANG2,GLANG3,seq,soilcover
Piracicaba,SP,BR,Plant Cane Irrigated/Rainfed,-22.701664,-47.642342,547,11/18/2012,2012,323,39,9,AVG,,,,,,,,,,,,4.9,0.11,,,,,,,,,,,1,WithoutTrash
Piracicaba,SP,BR,Plant Cane Irrigated/Rainfed,-22.701664,-47.642342,547,12/22/2012,2012,357,74,9,AVG,,,,,,,,,,,,16.9,1.59,,,,0.07,,,,,,,1,WithoutTrash
Piracicaba,SP,BR,Plant Cane Irrigated/Rainfed,-22.701664,-47.642342,547,2/16/2013,2013,47,129,9,AVG,,,,6,55.2,,,,,,,,,,,,,,,,,,,1,WithoutTrash
Piracicaba,SP,BR,Plant Cane Irrigated/Rainfed,-22.701664,-47.642342,547,2/20/2013,2013,51,133,9,AVG,,,,,,,,,,,,14.1,4.06,,,,1.64,,,,,,,1,WithoutTrash
Piracicaba,SP,BR,Plant Cane Irrigated/Rainfed,-22.701664,-47.642342,547,3/22/2013,2013,81,162,9,AVG,,,,12,86.7,,,,,,,,,,,,,,,,,,,1,WithoutTrash
Piracicaba,SP,BR,Plant Cane Irrigated/Rainfed,-22.701664,-47.642342,547,3/26/2013,2013,85,166,9,AVG,,,,,,,,,,,,,,,,,,,,,,,,1,WithoutTrash
Piracicaba,SP,BR,Plant Cane Irrigated/Rainfed,-22.701664,-47.642342,547,3/27/2013,2013,86,167,9,AVG,,,,,,,,,,,,10.8,3.17,,,,2.26,,,,,,,1,WithoutTrash
Piracicaba,SP,BR,Plant Cane Irrigated/Rainfed,-22.701664,-47.642342,547,4/10/2013,2013,100,182,9,AVG,,,,,,,,,,,,,,,,,,,,,,,,1,WithoutTrash
Piracicaba,SP,BR,Plant Cane Irrigated/Rainfed,-22.701664,-47.642342,547,5/2/2013,2013,122,203,9,AVG,,,,,,,,,,,,9.6,4.15,,,,2.76,,,,,,,1,WithoutTrash
Piracicaba,SP,BR,Plant Cane Irrigated/Rainfed,-22.701664,-47.642342,547,5/15/2013,2013,135,217,9,AVG,,,,22.8,121.8,,,,,,,,,,,,,,,,,,,1,WithoutTrash
Piracicaba,SP,BR,Plant Cane Irrigated/Rainfed,-22.701664,-47.642342,547,5/16/2013,2013,136,218,9,AVG,,,,,,,,,,,,,,,,,,,,,,,,1,WithoutTrash
Piracicaba,SP,BR,Plant Cane Irrigated/Rainfed,-22.701664,-47.642342,547,5/28/2013,2013,148,230,9,AVG,,,,,,,,,,,,,,,,,,,,,,,,1,WithoutTrash
Piracicaba,SP,BR,Plant Cane Irrigated/Rainfed,-22.701664,-47.642342,547,6/14/2013,2013,165,246,9,AVG,,,,30.6,146,,,,,,,,3.5,,,,,,,,,,,1,WithoutTrash
Piracicaba,SP,BR,1st RatoonWith/Without Mulch - Irrigated* Water Crisis in SP,-22.701664,-47.642342,547,12/27/2013,2013,361,72,WithTrash,AVG,,1.906609469,,0,,0.556456705,,1.350152764,,,,,,,,,,,,,,,,2,WithTrash
Piracicaba,SP,BR,1st RatoonWith/Without Mulch - Irrigated* Water Crisis in SP,-22.701664,-47.642342,547,1/15/2014,2014,15,91,WithTrash,AVG,,4.936794872,,0.568523025,,1.455850733,,2.912421115,,,,,,,,,,,,,,,,2,WithTrash
Piracicaba,SP,BR,1st RatoonWith/Without Mulch - Irrigated* Water Crisis in SP,-22.701664,-47.642342,547,2/10/2014,2014,41,117,WithTrash,AVG,,12.45792263,,4.364125547,,1.771662287,,3.444413139,,,,,,,,,,,,,,,,2,WithTrash
Piracicaba,SP,BR,1st RatoonWith/Without Mulch - Irrigated* Water Crisis in SP,-22.701664,-47.642342,547,3/11/2014,2014,70,146,WithTrash,AVG,,15.10898019,,7.3001998,,1.654711955,,4.341185481,,,,,,,,,,,,,,,,2,WithTrash
Piracicaba,SP,BR,1st RatoonWith/Without Mulch - Irrigated* Water Crisis in SP,-22.701664,-47.642342,547,4/5/2014,2014,95,171,WithTrash,AVG,,22.8271125,,11.4460575,,1.3843125,,7.32843,,,,,,,,,,,,,,,,2,WithTrash
Piracicaba,SP,BR,1st RatoonWith/Without Mulch - Irrigated* Water Crisis in SP,-22.701664,-47.642342,547,5/10/2014,2014,130,206,WithTrash,AVG,,20.28278031,,12.66213745,,0.958571429,,4.217714286,,,,,,,,,,,,,,,,2,WithTrash
Piracicaba,SP,BR,1st RatoonWith/Without Mulch - Irrigated* Water Crisis in SP,-22.701664,-47.642342,547,5/31/2014,2014,151,227,WithTrash,AVG,,26.1472881,,14.8423,,1.269452381,,5.832619048,,,,,,,,,,,,,,,,2,WithTrash
Piracicaba,SP,BR,1st RatoonWith/Without Mulch - Irrigated* Water Crisis in SP,-22.701664,-47.642342,547,7/1/2014,2014,182,258,WithTrash,AVG,,31.80377571,,19.92670714,,2.841814286,,5.05701,,,,,,,,,,,,,,,,2,WithTrash
Piracicaba,SP,BR,1st RatoonWith/Without Mulch - Irrigated* Water Crisis in SP,-22.701664,-47.642342,547,12/27/2013,2013,361,72,WithoutTrash,AVG,,1.865722357,,0,,0.480543987,,1.38517837,,,,,,,,,,,,,,,,2,WithoutTrash
